Gene stable ID,Transcript stable ID,Gene start (bp),Gene end (bp)
ENSGALG00000052704,ENSGALT00000097520,78518303,78520884
ENSGALG00000052704,ENSGALT00000102983,78518303,78520884
ENSGALG00000052704,ENSGALT00000100110,78518303,78520884
ENSGALG00000050769,ENSGALT00000107169,78483507,78510569
ENSGALG00000051332,ENSGALT00000092713,78321212,78328027
ENSGALG00000052247,ENSGALT00000094602,78241646,78248674
ENSGALG00000052247,ENSGALT00000098326,78241646,78248674
ENSGALG00000052247,ENSGALT00000091104,78241646,78248674
ENSGALG00000049817,ENSGALT00000091500,78138450,78142047
ENSGALG00000054238,ENSGALT00000094676,77735018,77740966
ENSGALG00000026973,ENSGALT00000045844,104848397,104859189
ENSGALG00000026973,ENSGALT00000061168,104848397,104859189
ENSGALG00000008651,ENSGALT00000014091,15927353,15940433
ENSGALG00000013990,ENSGALT00000059788,56858322,56862421
ENSGALG00000013990,ENSGALT00000071633,56858322,56862421
ENSGALG00000013990,ENSGALT00000022666,56858322,56862421
ENSGALG00000053921,ENSGALT00000094960,56642469,56645858
ENSGALG00000011186,ENSGALT00000018239,41197504,41213936
ENSGALG00000011182,ENSGALT00000037704,40917808,40929676
ENSGALG00000011182,ENSGALT00000091522,40917808,40929676
ENSGALG00000011182,ENSGALT00000107634,40917808,40929676
ENSGALG00000011180,ENSGALT00000101299,40837462,40916045
ENSGALG00000011180,ENSGALT00000068128,40837462,40916045
ENSGALG00000011180,ENSGALT00000080754,40837462,40916045
ENSGALG00000011180,ENSGALT00000101198,40837462,40916045
ENSGALG00000011180,ENSGALT00000018228,40837462,40916045
ENSGALG00000011180,ENSGALT00000067195,40837462,40916045
ENSGALG00000011180,ENSGALT00000046464,40837462,40916045
ENSGALG00000011174,ENSGALT00000018217,40804438,40810410
ENSGALG00000011171,ENSGALT00000084343,40793364,40804578
ENSGALG00000011171,ENSGALT00000048479,40793364,40804578
ENSGALG00000011171,ENSGALT00000037720,40793364,40804578
ENSGALG00000011169,ENSGALT00000018198,40770761,40792143
ENSGALG00000011169,ENSGALT00000108203,40770761,40792143
ENSGALG00000011169,ENSGALT00000018210,40770761,40792143
ENSGALG00000011169,ENSGALT00000084702,40770761,40792143
ENSGALG00000044278,ENSGALT00000083659,40760783,40767827
ENSGALG00000030960,ENSGALT00000060537,40719341,40751814
ENSGALG00000043572,ENSGALT00000075302,40687395,40693437
ENSGALG00000011155,ENSGALT00000031842,40666273,40675811
ENSGALG00000032780,ENSGALT00000098281,40629526,40666062
ENSGALG00000032780,ENSGALT00000062824,40629526,40666062
ENSGALG00000049155,ENSGALT00000091654,40628127,40628202
ENSGALG00000026600,ENSGALT00000045254,40608347,40628562
ENSGALG00000011136,ENSGALT00000018152,40564709,40593020
ENSGALG00000011136,ENSGALT00000106048,40564709,40593020
ENSGALG00000011117,ENSGALT00000018111,40543177,40555076
ENSGALG00000011117,ENSGALT00000097383,40543177,40555076
ENSGALG00000011114,ENSGALT00000018104,40511303,40540413
ENSGALG00000011111,ENSGALT00000074168,40401196,40465340
ENSGALG00000011106,ENSGALT00000093327,40287180,40380983
ENSGALG00000011106,ENSGALT00000018092,40287180,40380983
ENSGALG00000011106,ENSGALT00000102511,40287180,40380983
ENSGALG00000025841,ENSGALT00000045433,40212930,40213100
ENSGALG00000011101,ENSGALT00000105531,40180105,40214133
ENSGALG00000011101,ENSGALT00000018087,40180105,40214133
ENSGALG00000011098,ENSGALT00000018081,40162308,40180002
ENSGALG00000011096,ENSGALT00000018079,40129566,40145393
ENSGALG00000011091,ENSGALT00000018070,40097108,40125127
ENSGALG00000011091,ENSGALT00000050904,40097108,40125127
ENSGALG00000011086,ENSGALT00000079340,40087452,40090517
ENSGALG00000011086,ENSGALT00000088724,40087452,40090517
ENSGALG00000011084,ENSGALT00000018061,40068687,40076967
ENSGALG00000036218,ENSGALT00000093806,40043583,40064101
ENSGALG00000036218,ENSGALT00000096011,40043583,40064101
ENSGALG00000036218,ENSGALT00000047065,40043583,40064101
ENSGALG00000008660,ENSGALT00000014105,15917270,15922608
ENSGALG00000008660,ENSGALT00000107013,15917270,15922608
ENSGALG00000016531,ENSGALT00000026678,104750809,104834649
ENSGALG00000016531,ENSGALT00000104403,104750809,104834649
ENSGALG00000016531,ENSGALT00000091410,104750809,104834649
ENSGALG00000016531,ENSGALT00000107614,104750809,104834649
ENSGALG00000025738,ENSGALT00000042798,39870601,39877069
ENSGALG00000043280,ENSGALT00000076078,39848255,39851675
ENSGALG00000011065,ENSGALT00000018018,39844405,39848234
ENSGALG00000026676,ENSGALT00000045778,104735864,104735945
ENSGALG00000038191,ENSGALT00000024548,104724033,104740102
ENSGALG00000041422,ENSGALT00000096803,39805911,39835770
ENSGALG00000041422,ENSGALT00000063143,39805911,39835770
ENSGALG00000037177,ENSGALT00000076230,39754269,39776050
ENSGALG00000039587,ENSGALT00000100065,15796600,15900738
ENSGALG00000039587,ENSGALT00000067798,15796600,15900738
ENSGALG00000039349,ENSGALT00000096781,39543722,39731527
ENSGALG00000039349,ENSGALT00000100927,39543722,39731527
ENSGALG00000039349,ENSGALT00000076343,39543722,39731527
ENSGALG00000039349,ENSGALT00000104811,39543722,39731527
ENSGALG00000039349,ENSGALT00000105743,39543722,39731527
ENSGALG00000054948,ENSGALT00000107534,104690243,104715074
ENSGALG00000029121,ENSGALT00000043481,15685758,15685872
ENSGALG00000050724,ENSGALT00000100817,39311289,39311338
ENSGALG00000037506,ENSGALT00000075800,39259121,39362915
ENSGALG00000037506,ENSGALT00000076101,39259121,39362915
ENSGALG00000049034,ENSGALT00000100009,39158155,39160875
ENSGALG00000050186,ENSGALT00000096082,39106153,39109434
ENSGALG00000048291,ENSGALT00000104976,39104462,39106051
ENSGALG00000053073,ENSGALT00000108005,39082821,39098599
ENSGALG00000017923,ENSGALT00000028630,38983550,38983712
ENSGALG00000011013,ENSGALT00000076882,38929612,39078262
ENSGALG00000011008,ENSGALT00000098956,38887936,38927053
ENSGALG00000011008,ENSGALT00000017926,38887936,38927053
ENSGALG00000011005,ENSGALT00000017920,38762090,38790863
ENSGALG00000011003,ENSGALT00000017917,38567265,38616829
ENSGALG00000046411,ENSGALT00000088894,104640895,104658791
ENSGALG00000030590,ENSGALT00000056352,38557631,38559258
ENSGALG00000031656,ENSGALT00000075673,56480470,56633286
ENSGALG00000031656,ENSGALT00000074069,56480470,56633286
ENSGALG00000031656,ENSGALT00000048760,56480470,56633286
ENSGALG00000011000,ENSGALT00000017913,38524569,38557190
ENSGALG00000052326,ENSGALT00000101151,38461706,38464567
ENSGALG00000025517,ENSGALT00000042430,38288745,38288880
ENSGALG00000035299,ENSGALT00000049887,38288126,38295275
ENSGALG00000028520,ENSGALT00000045265,15683584,15685913
ENSGALG00000028520,ENSGALT00000084298,15683584,15685913
ENSGALG00000048698,ENSGALT00000062727,38283797,38287902
ENSGALG00000029915,ENSGALT00000081891,38280486,38284689
ENSGALG00000034003,ENSGALT00000060614,38194654,38276962
ENSGALG00000042853,ENSGALT00000050858,38176341,38193355
ENSGALG00000042853,ENSGALT00000058773,38176341,38193355
ENSGALG00000013950,ENSGALT00000022606,38148652,38169225
ENSGALG00000013950,ENSGALT00000091921,38148652,38169225
ENSGALG00000013952,ENSGALT00000022610,38124927,38149873
ENSGALG00000010986,ENSGALT00000017896,38100145,38113286
ENSGALG00000010986,ENSGALT00000103626,38100145,38113286
ENSGALG00000010986,ENSGALT00000092714,38100145,38113286
ENSGALG00000010986,ENSGALT00000087065,38100145,38113286
ENSGALG00000032840,ENSGALT00000073818,38081417,38095847
ENSGALG00000050481,ENSGALT00000100473,38068439,38074372
ENSGALG00000048321,ENSGALT00000058745,38036754,38052061
ENSGALG00000042079,ENSGALT00000061955,37941890,37973181
ENSGALG00000010843,ENSGALT00000031860,37893859,37919523
ENSGALG00000010843,ENSGALT00000017625,37893859,37919523
ENSGALG00000040000,ENSGALT00000057460,37863579,37889231
ENSGALG00000031763,ENSGALT00000074815,37838822,37857318
ENSGALG00000008445,ENSGALT00000013756,4055975,4107356
ENSGALG00000008445,ENSGALT00000102104,4055975,4107356
ENSGALG00000008429,ENSGALT00000013732,3921732,3934633
ENSGALG00000049282,ENSGALT00000097101,3919533,3921707
ENSGALG00000008416,ENSGALT00000069318,3841238,3871039
ENSGALG00000029024,ENSGALT00000043246,56360381,56362566
ENSGALG00000048241,ENSGALT00000092425,3828889,3830091
ENSGALG00000008667,ENSGALT00000014113,15647437,15658771
ENSGALG00000025266,ENSGALT00000042179,3796289,3796390
ENSGALG00000032964,ENSGALT00000070261,3773453,3787531
ENSGALG00000014371,ENSGALT00000093867,37820739,37836628
ENSGALG00000014371,ENSGALT00000006738,37820739,37836628
ENSGALG00000014371,ENSGALT00000023217,37820739,37836628
ENSGALG00000014371,ENSGALT00000102541,37820739,37836628
ENSGALG00000014371,ENSGALT00000054374,37820739,37836628
ENSGALG00000044730,ENSGALT00000085818,3709661,3744664
ENSGALG00000008386,ENSGALT00000040014,3599016,3639744
ENSGALG00000008386,ENSGALT00000074849,3599016,3639744
ENSGALG00000032799,ENSGALT00000055097,37816238,37820310
ENSGALG00000051378,ENSGALT00000107352,37786577,37788792
ENSGALG00000013981,ENSGALT00000051224,56337729,56344309
ENSGALG00000008372,ENSGALT00000013637,3546571,3591719
ENSGALG00000013980,ENSGALT00000022653,56302892,56331660
ENSGALG00000035835,ENSGALT00000073841,3543643,3544746
ENSGALG00000041454,ENSGALT00000063127,104568030,104584279
ENSGALG00000036869,ENSGALT00000048513,3523328,3524365
ENSGALG00000039040,ENSGALT00000079315,3491748,3495862
ENSGALG00000014463,ENSGALT00000023354,37710303,37774495
ENSGALG00000014463,ENSGALT00000078959,37710303,37774495
ENSGALG00000014463,ENSGALT00000084370,37710303,37774495
ENSGALG00000030889,ENSGALT00000049347,3366094,3369593
ENSGALG00000052490,ENSGALT00000105655,3343995,3344051
ENSGALG00000008362,ENSGALT00000013617,3340865,3343007
ENSGALG00000008359,ENSGALT00000013613,3329006,3331372
ENSGALG00000053659,ENSGALT00000054581,3292590,3299822
ENSGALG00000053640,ENSGALT00000043958,3283126,3292415
ENSGALG00000008313,ENSGALT00000013531,3276268,3283076
ENSGALG00000008269,ENSGALT00000013458,3236158,3265532
ENSGALG00000046358,ENSGALT00000088727,3223813,3229644
ENSGALG00000041028,ENSGALT00000063293,104550333,104557734
ENSGALG00000014464,ENSGALT00000017613,37651044,37698782
ENSGALG00000047885,ENSGALT00000099521,37545247,37545313
ENSGALG00000008257,ENSGALT00000013438,3201470,3222450
ENSGALG00000008257,ENSGALT00000062719,3201470,3222450
ENSGALG00000008257,ENSGALT00000074727,3201470,3222450
ENSGALG00000048822,ENSGALT00000095690,3193235,3196439
ENSGALG00000008254,ENSGALT00000104062,3158895,3193023
ENSGALG00000008254,ENSGALT00000097399,3158895,3193023
ENSGALG00000008254,ENSGALT00000097131,3158895,3193023
ENSGALG00000008254,ENSGALT00000013435,3158895,3193023
ENSGALG00000051135,ENSGALT00000099294,3133521,3141086
ENSGALG00000008233,ENSGALT00000013400,3107742,3127503
ENSGALG00000008198,ENSGALT00000100637,3091851,3106753
ENSGALG00000008198,ENSGALT00000040123,3091851,3106753
ENSGALG00000008195,ENSGALT00000013347,3072614,3092030
ENSGALG00000031726,ENSGALT00000077336,104543182,104547654
ENSGALG00000031726,ENSGALT00000101976,104543182,104547654
ENSGALG00000031726,ENSGALT00000104393,104543182,104547654
ENSGALG00000052740,ENSGALT00000096087,104542276,104542439
ENSGALG00000031281,ENSGALT00000052697,104535958,104539304
ENSGALG00000008676,ENSGALT00000098776,15616824,15644373
ENSGALG00000008676,ENSGALT00000015273,15616824,15644373
ENSGALG00000008676,ENSGALT00000100513,15616824,15644373
ENSGALG00000008676,ENSGALT00000091100,15616824,15644373
ENSGALG00000023882,ENSGALT00000040136,3067991,3070900
ENSGALG00000023882,ENSGALT00000103132,3067991,3070900
ENSGALG00000010812,ENSGALT00000017582,37258840,37528009
ENSGALG00000010812,ENSGALT00000062448,37258840,37528009
ENSGALG00000008182,ENSGALT00000013322,3044379,3055276
ENSGALG00000008176,ENSGALT00000087251,3041079,3073674
ENSGALG00000008176,ENSGALT00000043204,3041079,3073674
ENSGALG00000054823,ENSGALT00000097993,104528617,104532206
ENSGALG00000008172,ENSGALT00000013285,3030269,3041396
ENSGALG00000008166,ENSGALT00000108317,3021579,3025935
ENSGALG00000008166,ENSGALT00000013275,3021579,3025935
ENSGALG00000008165,ENSGALT00000013274,3016904,3018514
ENSGALG00000010778,ENSGALT00000017530,36486653,36741396
ENSGALG00000031427,ENSGALT00000049552,36299716,36441865
ENSGALG00000055021,ENSGALT00000091095,36252106,36294690
ENSGALG00000008163,ENSGALT00000013265,2948220,3011913
ENSGALG00000008163,ENSGALT00000043729,2948220,3011913
ENSGALG00000027632,ENSGALT00000045290,2880596,2928699
ENSGALG00000016324,ENSGALT00000026335,88374105,88384918
ENSGALG00000016322,ENSGALT00000026333,88359782,88366861
ENSGALG00000017926,ENSGALT00000028633,88359209,88359537
ENSGALG00000048639,ENSGALT00000101499,88358467,88358775
ENSGALG00000029512,ENSGALT00000057896,2697040,2819577
ENSGALG00000029512,ENSGALT00000068343,2697040,2819577
ENSGALG00000029512,ENSGALT00000076738,2697040,2819577
ENSGALG00000029512,ENSGALT00000098137,2697040,2819577
ENSGALG00000039772,ENSGALT00000100331,35972263,36229904
ENSGALG00000039772,ENSGALT00000094334,35972263,36229904
ENSGALG00000039772,ENSGALT00000099798,35972263,36229904
ENSGALG00000039772,ENSGALT00000106061,35972263,36229904
ENSGALG00000039772,ENSGALT00000051889,35972263,36229904
ENSGALG00000039772,ENSGALT00000093971,35972263,36229904
ENSGALG00000039772,ENSGALT00000100114,35972263,36229904
ENSGALG00000016321,ENSGALT00000026331,88342284,88357572
ENSGALG00000016321,ENSGALT00000093217,88342284,88357572
ENSGALG00000016320,ENSGALT00000026329,88320831,88338333
ENSGALG00000016320,ENSGALT00000056107,88320831,88338333
ENSGALG00000010768,ENSGALT00000017511,35970274,35972202
ENSGALG00000016316,ENSGALT00000105973,88302328,88310936
ENSGALG00000016316,ENSGALT00000026323,88302328,88310936
ENSGALG00000010762,ENSGALT00000017501,35912417,35927799
ENSGALG00000008139,ENSGALT00000013206,2560870,2680684
ENSGALG00000008139,ENSGALT00000062122,2560870,2680684
ENSGALG00000010760,ENSGALT00000017499,35868590,35890278
ENSGALG00000016314,ENSGALT00000026321,88246591,88283573
ENSGALG00000010748,ENSGALT00000017486,35824198,35839291
ENSGALG00000010741,ENSGALT00000017478,35797770,35799577
ENSGALG00000025575,ENSGALT00000042488,35727094,35727196
ENSGALG00000054356,ENSGALT00000097666,35634565,35635857
ENSGALG00000016313,ENSGALT00000026320,88184018,88215580
ENSGALG00000016313,ENSGALT00000106917,88184018,88215580
ENSGALG00000010737,ENSGALT00000047039,35569976,35737294
ENSGALG00000010737,ENSGALT00000017474,35569976,35737294
ENSGALG00000010737,ENSGALT00000059752,35569976,35737294
ENSGALG00000016309,ENSGALT00000026310,88147849,88151591
ENSGALG00000029261,ENSGALT00000076385,2503066,2562071
ENSGALG00000029261,ENSGALT00000050460,2503066,2562071
ENSGALG00000029261,ENSGALT00000056021,2503066,2562071
ENSGALG00000029261,ENSGALT00000057153,2503066,2562071
ENSGALG00000029261,ENSGALT00000102479,2503066,2562071
ENSGALG00000046852,ENSGALT00000100409,88132813,88142936
ENSGALG00000046637,ENSGALT00000099670,88122045,88134230
ENSGALG00000046637,ENSGALT00000101645,88122045,88134230
ENSGALG00000046637,ENSGALT00000087043,88122045,88134230
ENSGALG00000037957,ENSGALT00000057095,2452397,2454234
ENSGALG00000038549,ENSGALT00000079457,2416491,2431112
ENSGALG00000010733,ENSGALT00000084942,35325057,35413252
ENSGALG00000010733,ENSGALT00000106583,35325057,35413252
ENSGALG00000010733,ENSGALT00000100689,35325057,35413252
ENSGALG00000010733,ENSGALT00000069883,35325057,35413252
ENSGALG00000010733,ENSGALT00000017461,35325057,35413252
ENSGALG00000016304,ENSGALT00000026304,88017842,88103589
ENSGALG00000029476,ENSGALT00000068970,2366625,2408562
ENSGALG00000010713,ENSGALT00000097142,35221764,35325431
ENSGALG00000010713,ENSGALT00000017430,35221764,35325431
ENSGALG00000016301,ENSGALT00000026298,87917091,88015595
ENSGALG00000016301,ENSGALT00000100049,87917091,88015595
ENSGALG00000016301,ENSGALT00000055273,87917091,88015595
ENSGALG00000034081,ENSGALT00000089902,35071502,35216609
ENSGALG00000034081,ENSGALT00000078278,35071502,35216609
ENSGALG00000016300,ENSGALT00000026295,87866280,87910198
ENSGALG00000010705,ENSGALT00000098194,34997069,35002178
ENSGALG00000010705,ENSGALT00000017414,34997069,35002178
ENSGALG00000016299,ENSGALT00000026294,87700116,87743877
ENSGALG00000016297,ENSGALT00000031641,87590272,87623808
ENSGALG00000016296,ENSGALT00000036969,87561662,87574788
ENSGALG00000016294,ENSGALT00000026278,87481259,87553795
ENSGALG00000010702,ENSGALT00000017407,34865405,34930518
ENSGALG00000010702,ENSGALT00000074255,34865405,34930518
ENSGALG00000016293,ENSGALT00000026276,87360676,87415579
ENSGALG00000010678,ENSGALT00000017370,34820640,34835301
ENSGALG00000051085,ENSGALT00000100876,87262144,87301693
ENSGALG00000016292,ENSGALT00000026273,87199659,87241935
ENSGALG00000047450,ENSGALT00000091963,87056422,87056484
ENSGALG00000047909,ENSGALT00000093324,87015963,87022349
ENSGALG00000027440,ENSGALT00000066386,34801117,34805212
ENSGALG00000027440,ENSGALT00000045124,34801117,34805212
ENSGALG00000027440,ENSGALT00000052312,34801117,34805212
ENSGALG00000027440,ENSGALT00000049008,34801117,34805212
ENSGALG00000053472,ENSGALT00000091291,86876940,86876998
ENSGALG00000010671,ENSGALT00000099326,34777526,34790199
ENSGALG00000010671,ENSGALT00000017361,34777526,34790199
ENSGALG00000028017,ENSGALT00000044026,34734303,34757372
ENSGALG00000010664,ENSGALT00000097056,34279395,34717416
ENSGALG00000010664,ENSGALT00000017350,34279395,34717416
ENSGALG00000010664,ENSGALT00000106469,34279395,34717416
ENSGALG00000010664,ENSGALT00000093800,34279395,34717416
ENSGALG00000010653,ENSGALT00000065777,34048590,34412338
ENSGALG00000010653,ENSGALT00000107100,34048590,34412338
ENSGALG00000010653,ENSGALT00000031879,34048590,34412338
ENSGALG00000010651,ENSGALT00000017328,34033598,34041878
ENSGALG00000010649,ENSGALT00000017325,33983981,34007220
ENSGALG00000004455,ENSGALT00000060144,2219254,2362677
ENSGALG00000004455,ENSGALT00000007092,2219254,2362677
ENSGALG00000004455,ENSGALT00000099349,2219254,2362677
ENSGALG00000004455,ENSGALT00000107765,2219254,2362677
ENSGALG00000004455,ENSGALT00000105156,2219254,2362677
ENSGALG00000004455,ENSGALT00000092345,2219254,2362677
ENSGALG00000010641,ENSGALT00000017313,33951857,33961883
ENSGALG00000010635,ENSGALT00000017305,33929665,33952049
ENSGALG00000025394,ENSGALT00000042307,33879846,33879946
ENSGALG00000016289,ENSGALT00000048133,86843658,87137461
ENSGALG00000016289,ENSGALT00000081342,86843658,87137461
ENSGALG00000016289,ENSGALT00000106700,86843658,87137461
ENSGALG00000016289,ENSGALT00000026264,86843658,87137461
ENSGALG00000010630,ENSGALT00000017299,33876529,33929454
ENSGALG00000010630,ENSGALT00000103125,33876529,33929454
ENSGALG00000004483,ENSGALT00000007141,2211235,2219474
ENSGALG00000010625,ENSGALT00000017289,33837372,33858132
ENSGALG00000023934,ENSGALT00000040293,2164309,2210774
ENSGALG00000010624,ENSGALT00000061836,33771735,33798156
ENSGALG00000010624,ENSGALT00000017288,33771735,33798156
ENSGALG00000007825,ENSGALT00000012701,2132842,2156058
ENSGALG00000007825,ENSGALT00000095057,2132842,2156058
ENSGALG00000016283,ENSGALT00000026253,86821519,86843295
ENSGALG00000010621,ENSGALT00000017280,33762266,33766835
ENSGALG00000007832,ENSGALT00000012708,2124834,2132004
ENSGALG00000007835,ENSGALT00000097149,2090439,2124498
ENSGALG00000007835,ENSGALT00000012717,2090439,2124498
ENSGALG00000016282,ENSGALT00000026251,86776072,86815886
ENSGALG00000016282,ENSGALT00000078090,86776072,86815886
ENSGALG00000026605,ENSGALT00000043309,86761744,86769254
ENSGALG00000007845,ENSGALT00000040305,2054433,2088375
ENSGALG00000016279,ENSGALT00000046840,86745056,86757353
ENSGALG00000016279,ENSGALT00000026245,86745056,86757353
ENSGALG00000042005,ENSGALT00000060510,104522770,104531481
ENSGALG00000042005,ENSGALT00000051444,104522770,104531481
ENSGALG00000042005,ENSGALT00000065307,104522770,104531481
ENSGALG00000042005,ENSGALT00000056898,104522770,104531481
ENSGALG00000016278,ENSGALT00000026244,86640619,86724466
ENSGALG00000007853,ENSGALT00000012751,2015400,2032464
ENSGALG00000010620,ENSGALT00000017279,33727602,33759099
ENSGALG00000010620,ENSGALT00000084658,33727602,33759099
ENSGALG00000010620,ENSGALT00000085243,33727602,33759099
ENSGALG00000010620,ENSGALT00000083772,33727602,33759099
ENSGALG00000010620,ENSGALT00000060809,33727602,33759099
ENSGALG00000034048,ENSGALT00000074049,1875922,1931759
ENSGALG00000016276,ENSGALT00000026242,86081964,86389548
ENSGALG00000050081,ENSGALT00000093722,1875659,1876234
ENSGALG00000028930,ENSGALT00000043087,1688275,1688425
ENSGALG00000027797,ENSGALT00000044407,1312902,1313004
ENSGALG00000040223,ENSGALT00000079311,1064693,1064754
ENSGALG00000008691,ENSGALT00000033264,15568556,15585361
ENSGALG00000008691,ENSGALT00000100044,15568556,15585361
ENSGALG00000010618,ENSGALT00000017275,33708793,33721721
ENSGALG00000047770,ENSGALT00000096103,85888162,85888215
ENSGALG00000013971,ENSGALT00000092402,56205535,56302921
ENSGALG00000013971,ENSGALT00000090679,56205535,56302921
ENSGALG00000013971,ENSGALT00000099132,56205535,56302921
ENSGALG00000013971,ENSGALT00000031766,56205535,56302921
ENSGALG00000032440,ENSGALT00000084081,33691214,33705352
ENSGALG00000016273,ENSGALT00000037018,85729874,85746676
ENSGALG00000034137,ENSGALT00000100463,104519630,104520726
ENSGALG00000034137,ENSGALT00000054655,104519630,104520726
