Gene stable ID,Transcript stable ID,Exon stable ID
ENSMUSG00000026312,ENSMUST00000112701,ENSMUSE00000692792
ENSMUSG00000026312,ENSMUST00000129923,ENSMUSE00000659668
ENSMUSG00000026312,ENSMUST00000129923,ENSMUSE00000871936
ENSMUSG00000026312,ENSMUST00000145188,ENSMUSE00000831013
ENSMUSG00000026312,ENSMUST00000145188,ENSMUSE00000748708
ENSMUSG00000026312,ENSMUST00000145188,ENSMUSE00000791300
ENSMUSG00000026312,ENSMUST00000131464,ENSMUSE00001155903
ENSMUSG00000026312,ENSMUST00000131464,ENSMUSE00000800828
ENSMUSG00000026312,ENSMUST00000131464,ENSMUSE00000786006
ENSMUSG00000026312,ENSMUST00000131464,ENSMUSE00001290576
ENSMUSG00000026312,ENSMUST00000131464,ENSMUSE00001266094
ENSMUSG00000026312,ENSMUST00000131464,ENSMUSE00001226060
ENSMUSG00000026312,ENSMUST00000131464,ENSMUSE00001295116
ENSMUSG00000026312,ENSMUST00000131464,ENSMUSE00001221039
ENSMUSG00000026312,ENSMUST00000131464,ENSMUSE00001217551
ENSMUSG00000026312,ENSMUST00000131464,ENSMUSE00001284193
ENSMUSG00000026312,ENSMUST00000131464,ENSMUSE00001300700
ENSMUSG00000026312,ENSMUST00000131464,ENSMUSE00001223656
ENSMUSG00000026312,ENSMUST00000131464,ENSMUSE00000764370
ENSMUSG00000026312,ENSMUST00000146282,ENSMUSE00000826631
ENSMUSG00000026312,ENSMUST00000146282,ENSMUSE00000789223
ENSMUSG00000026312,ENSMUST00000134301,ENSMUSE00001218410
ENSMUSG00000026312,ENSMUST00000134301,ENSMUSE00001254939
ENSMUSG00000026312,ENSMUST00000134301,ENSMUSE00000794031
ENSMUSG00000026312,ENSMUST00000134301,ENSMUSE00000827629
ENSMUSG00000026312,ENSMUST00000134301,ENSMUSE00000729188
ENSMUSG00000026312,ENSMUST00000027542,ENSMUSE00001292496
ENSMUSG00000026312,ENSMUST00000027542,ENSMUSE00001273918
ENSMUSG00000026312,ENSMUST00000027542,ENSMUSE00001215326
ENSMUSG00000026312,ENSMUST00000027542,ENSMUSE00001213973
ENSMUSG00000026312,ENSMUST00000027542,ENSMUSE00001308842
ENSMUSG00000026312,ENSMUST00000027542,ENSMUSE00001252752
ENSMUSG00000026312,ENSMUST00000027542,ENSMUSE00001243282
ENSMUSG00000026312,ENSMUST00000027542,ENSMUSE00001218410
ENSMUSG00000026312,ENSMUST00000027542,ENSMUSE00001254939
ENSMUSG00000026312,ENSMUST00000027542,ENSMUSE00000914892
ENSMUSG00000026312,ENSMUST00000027542,ENSMUSE00000540533
ENSMUSG00000026312,ENSMUST00000172005,ENSMUSE00001155903
ENSMUSG00000026312,ENSMUST00000172005,ENSMUSE00001292496
ENSMUSG00000026312,ENSMUST00000172005,ENSMUSE00001273918
ENSMUSG00000026312,ENSMUST00000172005,ENSMUSE00001215326
ENSMUSG00000026312,ENSMUST00000172005,ENSMUSE00001213973
ENSMUSG00000026312,ENSMUST00000172005,ENSMUSE00001308842
ENSMUSG00000026312,ENSMUST00000172005,ENSMUSE00001252752
ENSMUSG00000026312,ENSMUST00000172005,ENSMUSE00001243282
ENSMUSG00000026312,ENSMUST00000172005,ENSMUSE00001218410
ENSMUSG00000026312,ENSMUST00000172005,ENSMUSE00001254939
ENSMUSG00000026312,ENSMUST00000172005,ENSMUSE00000597645
ENSMUSG00000026312,ENSMUST00000172005,ENSMUSE00000900496
ENSMUSG00000100290,ENSMUST00000187425,ENSMUSE00001321711
ENSMUSG00000100758,ENSMUST00000189337,ENSMUSE00001331406
ENSMUSG00000099926,ENSMUST00000189583,ENSMUSE00001333762
ENSMUSG00000039748,ENSMUST00000039725,ENSMUSE00001338680
ENSMUSG00000039748,ENSMUST00000039725,ENSMUSE00000322059
ENSMUSG00000039748,ENSMUST00000039725,ENSMUSE00000322050
ENSMUSG00000039748,ENSMUST00000039725,ENSMUSE00000322042
ENSMUSG00000039748,ENSMUST00000039725,ENSMUSE00000322034
ENSMUSG00000039748,ENSMUST00000039725,ENSMUSE00000322026
ENSMUSG00000039748,ENSMUST00000039725,ENSMUSE00000322014
ENSMUSG00000039748,ENSMUST00000039725,ENSMUSE00000322003
ENSMUSG00000039748,ENSMUST00000039725,ENSMUSE00000321996
ENSMUSG00000039748,ENSMUST00000039725,ENSMUSE00000321986
ENSMUSG00000039748,ENSMUST00000039725,ENSMUSE00000321979
ENSMUSG00000039748,ENSMUST00000039725,ENSMUSE00000321970
ENSMUSG00000039748,ENSMUST00000039725,ENSMUSE00000321964
ENSMUSG00000039748,ENSMUST00000039725,ENSMUSE00000321957
ENSMUSG00000039748,ENSMUST00000039725,ENSMUSE00000359182
ENSMUSG00000039748,ENSMUST00000195196,ENSMUSE00000322050
ENSMUSG00000039748,ENSMUST00000195196,ENSMUSE00000322042
ENSMUSG00000039748,ENSMUST00000195196,ENSMUSE00000322067
ENSMUSG00000039748,ENSMUST00000195196,ENSMUSE00001338968
ENSMUSG00000039748,ENSMUST00000195196,ENSMUSE00001346243
ENSMUSG00000039748,ENSMUST00000194306,ENSMUSE00000322050
ENSMUSG00000039748,ENSMUST00000194306,ENSMUSE00000322042
ENSMUSG00000039748,ENSMUST00000194306,ENSMUSE00000322034
ENSMUSG00000039748,ENSMUST00000194306,ENSMUSE00000322026
ENSMUSG00000039748,ENSMUST00000194306,ENSMUSE00001344191
ENSMUSG00000039748,ENSMUST00000194306,ENSMUSE00001336882
ENSMUSG00000039748,ENSMUST00000194306,ENSMUSE00001338981
ENSMUSG00000039748,ENSMUST00000193822,ENSMUSE00000322050
ENSMUSG00000039748,ENSMUST00000193822,ENSMUSE00000322034
ENSMUSG00000039748,ENSMUST00000193822,ENSMUSE00000322026
ENSMUSG00000039748,ENSMUST00000193822,ENSMUSE00001338968
ENSMUSG00000039748,ENSMUST00000193822,ENSMUSE00001339562
ENSMUSG00000039748,ENSMUST00000193822,ENSMUSE00001336873
ENSMUSG00000039748,ENSMUST00000193858,ENSMUSE00000322050
ENSMUSG00000039748,ENSMUST00000193858,ENSMUSE00000322034
ENSMUSG00000039748,ENSMUST00000193858,ENSMUSE00000322026
ENSMUSG00000039748,ENSMUST00000193858,ENSMUSE00001467449
ENSMUSG00000039748,ENSMUST00000193858,ENSMUSE00001336806
ENSMUSG00000039748,ENSMUST00000191680,ENSMUSE00000321986
ENSMUSG00000039748,ENSMUST00000191680,ENSMUSE00000321979
ENSMUSG00000039748,ENSMUST00000191680,ENSMUSE00001340219
ENSMUSG00000039748,ENSMUST00000191680,ENSMUSE00001344743
ENSMUSG00000039748,ENSMUST00000191680,ENSMUSE00001337006
ENSMUSG00000039748,ENSMUST00000194636,ENSMUSE00000321964
ENSMUSG00000039748,ENSMUST00000194636,ENSMUSE00000321957
ENSMUSG00000039748,ENSMUST00000194636,ENSMUSE00001339368
ENSMUSG00000039748,ENSMUST00000194636,ENSMUSE00001343739
ENSMUSG00000039748,ENSMUST00000194636,ENSMUSE00001336903
ENSMUSG00000039748,ENSMUST00000193610,ENSMUSE00001344238
ENSMUSG00000039748,ENSMUST00000193610,ENSMUSE00001336630
ENSMUSG00000039748,ENSMUST00000193610,ENSMUSE00001336286
ENSMUSG00000039748,ENSMUST00000194816,ENSMUSE00001343342
ENSMUSG00000039748,ENSMUST00000194816,ENSMUSE00001340861
ENSMUSG00000039748,ENSMUST00000192378,ENSMUSE00001338253
ENSMUSG00000039748,ENSMUST00000192378,ENSMUSE00001339913
ENSMUSG00000118715,ENSMUST00000180129,ENSMUSE00001085961
ENSMUSG00000104158,ENSMUST00000201297,ENSMUSE00001362533
ENSMUSG00000104158,ENSMUST00000201297,ENSMUSE00001358732
ENSMUSG00000104158,ENSMUST00000194391,ENSMUSE00001344934
ENSMUSG00000103540,ENSMUST00000193745,ENSMUSE00001340626
ENSMUSG00000057363,ENSMUST00000126008,ENSMUSE00000807711
ENSMUSG00000057363,ENSMUST00000126008,ENSMUSE00001233172
ENSMUSG00000057363,ENSMUST00000126008,ENSMUSE00001279303
ENSMUSG00000057363,ENSMUST00000126008,ENSMUSE00001233908
ENSMUSG00000057363,ENSMUST00000126008,ENSMUSE00001220876
ENSMUSG00000057363,ENSMUST00000126008,ENSMUSE00001291743
ENSMUSG00000057363,ENSMUST00000126008,ENSMUSE00001240595
ENSMUSG00000057363,ENSMUST00000126008,ENSMUSE00001240677
ENSMUSG00000057363,ENSMUST00000126008,ENSMUSE00001261842
ENSMUSG00000057363,ENSMUST00000126008,ENSMUSE00001219805
ENSMUSG00000057363,ENSMUST00000126008,ENSMUSE00001272548
ENSMUSG00000057363,ENSMUST00000126008,ENSMUSE00001276890
ENSMUSG00000057363,ENSMUST00000126008,ENSMUSE00001231877
ENSMUSG00000057363,ENSMUST00000126008,ENSMUSE00001281986
ENSMUSG00000057363,ENSMUST00000126008,ENSMUSE00000800981
ENSMUSG00000057363,ENSMUST00000076997,ENSMUSE00001233172
ENSMUSG00000057363,ENSMUST00000076997,ENSMUSE00001279303
ENSMUSG00000057363,ENSMUST00000076997,ENSMUSE00001233908
ENSMUSG00000057363,ENSMUST00000076997,ENSMUSE00001220876
ENSMUSG00000057363,ENSMUST00000076997,ENSMUSE00000789587
ENSMUSG00000057363,ENSMUST00000076997,ENSMUSE00000789960
ENSMUSG00000057363,ENSMUST00000076997,ENSMUSE00001213609
ENSMUSG00000057363,ENSMUST00000076997,ENSMUSE00001266734
ENSMUSG00000057363,ENSMUST00000076997,ENSMUSE00001214441
ENSMUSG00000057363,ENSMUST00000076997,ENSMUSE00001272536
ENSMUSG00000057363,ENSMUST00000076997,ENSMUSE00001292822
ENSMUSG00000057363,ENSMUST00000076997,ENSMUSE00001237522
ENSMUSG00000057363,ENSMUST00000076997,ENSMUSE00001217206
ENSMUSG00000057363,ENSMUST00000076997,ENSMUSE00001298839
ENSMUSG00000057363,ENSMUST00000076997,ENSMUSE00000498329
ENSMUSG00000057363,ENSMUST00000139451,ENSMUSE00000807711
ENSMUSG00000057363,ENSMUST00000139451,ENSMUSE00001233172
ENSMUSG00000057363,ENSMUST00000139451,ENSMUSE00001233908
ENSMUSG00000057363,ENSMUST00000139451,ENSMUSE00001220876
ENSMUSG00000057363,ENSMUST00000139451,ENSMUSE00001291743
ENSMUSG00000057363,ENSMUST00000139451,ENSMUSE00001240595
ENSMUSG00000057363,ENSMUST00000139451,ENSMUSE00001240677
ENSMUSG00000057363,ENSMUST00000139451,ENSMUSE00001261842
ENSMUSG00000057363,ENSMUST00000139451,ENSMUSE00001236241
ENSMUSG00000057363,ENSMUST00000139451,ENSMUSE00001472900
ENSMUSG00000057363,ENSMUST00000136179,ENSMUSE00001213609
ENSMUSG00000057363,ENSMUST00000136179,ENSMUSE00001266734
ENSMUSG00000057363,ENSMUST00000136179,ENSMUSE00000817143
ENSMUSG00000057363,ENSMUST00000136179,ENSMUSE00001276863
ENSMUSG00000057363,ENSMUST00000136179,ENSMUSE00001262725
ENSMUSG00000057363,ENSMUST00000136179,ENSMUSE00001276016
ENSMUSG00000057363,ENSMUST00000136179,ENSMUSE00001297514
ENSMUSG00000057363,ENSMUST00000136179,ENSMUSE00001270101
ENSMUSG00000057363,ENSMUST00000136179,ENSMUSE00000757256
ENSMUSG00000057363,ENSMUST00000153317,ENSMUSE00001240595
ENSMUSG00000057363,ENSMUST00000153317,ENSMUSE00001240677
ENSMUSG00000057363,ENSMUST00000153317,ENSMUSE00000377129
ENSMUSG00000057363,ENSMUST00000153317,ENSMUSE00001359919
ENSMUSG00000057363,ENSMUST00000134860,ENSMUSE00001213609
ENSMUSG00000057363,ENSMUST00000134860,ENSMUSE00001276863
ENSMUSG00000057363,ENSMUST00000134860,ENSMUSE00001276016
ENSMUSG00000057363,ENSMUST00000134860,ENSMUSE00001297514
ENSMUSG00000057363,ENSMUST00000134860,ENSMUSE00000841575
ENSMUSG00000057363,ENSMUST00000134860,ENSMUSE00001286096
ENSMUSG00000057363,ENSMUST00000134860,ENSMUSE00001470733
ENSMUSG00000057363,ENSMUST00000136704,ENSMUSE00001276863
ENSMUSG00000057363,ENSMUST00000136704,ENSMUSE00001276016
ENSMUSG00000057363,ENSMUST00000136704,ENSMUSE00001297514
ENSMUSG00000057363,ENSMUST00000136704,ENSMUSE00001286096
ENSMUSG00000057363,ENSMUST00000136704,ENSMUSE00000784528
ENSMUSG00000057363,ENSMUST00000136704,ENSMUSE00000737260
ENSMUSG00000057363,ENSMUST00000136704,ENSMUSE00000729221
ENSMUSG00000057363,ENSMUST00000128261,ENSMUSE00001233172
ENSMUSG00000057363,ENSMUST00000128261,ENSMUSE00001279303
ENSMUSG00000057363,ENSMUST00000128261,ENSMUSE00001233908
ENSMUSG00000057363,ENSMUST00000128261,ENSMUSE00001220876
ENSMUSG00000057363,ENSMUST00000128261,ENSMUSE00000797665
ENSMUSG00000057363,ENSMUST00000128261,ENSMUSE00000827286
ENSMUSG00000057363,ENSMUST00000128261,ENSMUSE00001467919
ENSMUSG00000047216,ENSMUST00000094626,ENSMUSE00000692784
ENSMUSG00000047216,ENSMUST00000094626,ENSMUSE00000597590
ENSMUSG00000047216,ENSMUST00000094626,ENSMUSE00000470896
ENSMUSG00000047216,ENSMUST00000094626,ENSMUSE00000249944
ENSMUSG00000047216,ENSMUST00000094626,ENSMUSE00000157947
ENSMUSG00000047216,ENSMUST00000094626,ENSMUSE00000474230
ENSMUSG00000047216,ENSMUST00000094626,ENSMUSE00000597597
ENSMUSG00000047216,ENSMUST00000094626,ENSMUSE00000597599
ENSMUSG00000047216,ENSMUST00000094626,ENSMUSE00000388999
ENSMUSG00000047216,ENSMUST00000094626,ENSMUSE00000692778
ENSMUSG00000047216,ENSMUST00000094626,ENSMUSE00000692777
ENSMUSG00000047216,ENSMUST00000094626,ENSMUSE00000692776
ENSMUSG00000047216,ENSMUST00000187555,ENSMUSE00001333566
ENSMUSG00000047216,ENSMUST00000187555,ENSMUSE00001319681
ENSMUSG00000047216,ENSMUST00000187555,ENSMUSE00001332762
ENSMUSG00000102788,ENSMUST00000194910,ENSMUSE00001343077
ENSMUSG00000102160,ENSMUST00000192257,ENSMUSE00001344571
ENSMUSG00000101253,ENSMUST00000189363,ENSMUSE00001331461
ENSMUSG00000101253,ENSMUST00000189363,ENSMUSE00001332336
ENSMUSG00000101846,ENSMUST00000185792,ENSMUSE00001327372
ENSMUSG00000090243,ENSMUST00000163003,ENSMUSE00000858874
ENSMUSG00000100701,ENSMUST00000191395,ENSMUSE00001319127
ENSMUSG00000100555,ENSMUST00000186797,ENSMUSE00001333934
ENSMUSG00000100555,ENSMUST00000186797,ENSMUSE00001318754
ENSMUSG00000100555,ENSMUST00000186797,ENSMUSE00001320572
ENSMUSG00000101395,ENSMUST00000189286,ENSMUSE00001327212
ENSMUSG00000102728,ENSMUST00000192902,ENSMUSE00001340512
ENSMUSG00000088848,ENSMUST00000158223,ENSMUSE00000847358
ENSMUSG00002075225,ENSMUST00020182643,ENSMUSE00011469670
ENSMUSG00000038702,ENSMUST00000186365,ENSMUSE00001318527
ENSMUSG00000038702,ENSMUST00000186365,ENSMUSE00001318203
ENSMUSG00000038702,ENSMUST00000186365,ENSMUSE00001329809
ENSMUSG00000038702,ENSMUST00000035462,ENSMUSE00000433938
ENSMUSG00000038702,ENSMUST00000035462,ENSMUSE00000249569
ENSMUSG00000038702,ENSMUST00000189731,ENSMUSE00001318252
ENSMUSG00000038702,ENSMUST00000189731,ENSMUSE00001332319
ENSMUSG00000038702,ENSMUST00000189370,ENSMUSE00001321117
ENSMUSG00000038702,ENSMUST00000189370,ENSMUSE00001323686
ENSMUSG00000101875,ENSMUST00000077111,ENSMUSE00000579891
ENSMUSG00000099732,ENSMUST00000185787,ENSMUSE00001465707
ENSMUSG00000099732,ENSMUST00000185787,ENSMUSE00001318135
ENSMUSG00000101220,ENSMUST00000185549,ENSMUSE00001329750
ENSMUSG00000100020,ENSMUST00000190772,ENSMUSE00001325271
ENSMUSG00000101054,ENSMUST00000185872,ENSMUSE00001321739
ENSMUSG00000088691,ENSMUST00000158066,ENSMUSE00000847201
ENSMUSG00000099884,ENSMUST00000185696,ENSMUSE00001326076
ENSMUSG00000100304,ENSMUST00000189766,ENSMUSE00001333201
ENSMUSG00000100304,ENSMUST00000189766,ENSMUSE00001335959
ENSMUSG00000101453,ENSMUST00000190085,ENSMUSE00001331710
ENSMUSG00000101453,ENSMUST00000190085,ENSMUSE00001330083
ENSMUSG00000101453,ENSMUST00000190085,ENSMUSE00001325734
ENSMUSG00000102105,ENSMUST00000186856,ENSMUSE00001331971
ENSMUSG00000099943,ENSMUST00000190670,ENSMUSE00001330974
ENSMUSG00002075119,ENSMUST00020181757,ENSMUSE00011469326
ENSMUSG00000097648,ENSMUST00000180837,ENSMUSE00001163201
ENSMUSG00000097648,ENSMUST00000180837,ENSMUSE00001201617
ENSMUSG00000097648,ENSMUST00000180837,ENSMUSE00001124603
ENSMUSG00000101687,ENSMUST00000185902,ENSMUSE00001320727
ENSMUSG00000100515,ENSMUST00000186137,ENSMUSE00001329634
ENSMUSG00000100515,ENSMUST00000186137,ENSMUSE00001335082
ENSMUSG00000100515,ENSMUST00000186137,ENSMUSE00001323137
ENSMUSG00000100515,ENSMUST00000186137,ENSMUSE00001335330
ENSMUSG00000100515,ENSMUST00000186137,ENSMUSE00001331698
ENSMUSG00000100515,ENSMUST00000187634,ENSMUSE00001336107
ENSMUSG00000100515,ENSMUST00000189918,ENSMUSE00001323137
ENSMUSG00000100515,ENSMUST00000189918,ENSMUSE00001335330
ENSMUSG00000100515,ENSMUST00000189918,ENSMUSE00001319576
ENSMUSG00000100515,ENSMUST00000189918,ENSMUSE00001473887
ENSMUSG00000033021,ENSMUST00000037796,ENSMUSE00000707090
ENSMUSG00000033021,ENSMUST00000037796,ENSMUSE00000265364
ENSMUSG00000033021,ENSMUST00000037796,ENSMUSE00000265356
ENSMUSG00000033021,ENSMUST00000037796,ENSMUSE00000265344
ENSMUSG00000033021,ENSMUST00000037796,ENSMUSE00000265336
ENSMUSG00000033021,ENSMUST00000037796,ENSMUSE00000543459
ENSMUSG00000033021,ENSMUST00000037796,ENSMUSE00000543456
ENSMUSG00000033021,ENSMUST00000037796,ENSMUSE00001375569
ENSMUSG00000033021,ENSMUST00000037796,ENSMUSE00000543452
ENSMUSG00000033021,ENSMUST00000037796,ENSMUSE00001216061
ENSMUSG00000033021,ENSMUST00000037796,ENSMUSE00001299658
ENSMUSG00000033021,ENSMUST00000037796,ENSMUSE00001256085
ENSMUSG00000033021,ENSMUST00000037796,ENSMUSE00000696254
ENSMUSG00000033021,ENSMUST00000113584,ENSMUSE00000265364
ENSMUSG00000033021,ENSMUST00000113584,ENSMUSE00000265356
ENSMUSG00000033021,ENSMUST00000113584,ENSMUSE00000265344
ENSMUSG00000033021,ENSMUST00000113584,ENSMUSE00000265336
ENSMUSG00000033021,ENSMUST00000113584,ENSMUSE00000543459
ENSMUSG00000033021,ENSMUST00000113584,ENSMUSE00000543456
ENSMUSG00000033021,ENSMUST00000113584,ENSMUSE00001375569
ENSMUSG00000033021,ENSMUST00000113584,ENSMUSE00000543452
ENSMUSG00000033021,ENSMUST00000113584,ENSMUSE00001216061
ENSMUSG00000033021,ENSMUST00000113584,ENSMUSE00001299658
ENSMUSG00000033021,ENSMUST00000113584,ENSMUSE00001256085
ENSMUSG00000033021,ENSMUST00000113584,ENSMUSE00000696255
ENSMUSG00000033021,ENSMUST00000113584,ENSMUSE00000696252
ENSMUSG00000033021,ENSMUST00000113584,ENSMUSE00001207497
ENSMUSG00000033021,ENSMUST00000145166,ENSMUSE00000265364
ENSMUSG00000033021,ENSMUST00000145166,ENSMUSE00000265356
ENSMUSG00000033021,ENSMUST00000145166,ENSMUSE00000265344
ENSMUSG00000033021,ENSMUST00000145166,ENSMUSE00000798667
ENSMUSG00000033021,ENSMUST00000145166,ENSMUSE00000830081
ENSMUSG00000033021,ENSMUST00000143730,ENSMUSE00000265356
ENSMUSG00000033021,ENSMUST00000143730,ENSMUSE00000265344
ENSMUSG00000033021,ENSMUST00000143730,ENSMUSE00000265336
